
  Obs   Make     Model    Type  Origin  DriveTrain   MSRP  Invoice  EngineSize  Cylinders  Horsepower  MPG_City  MPG_Highway  Weight  Wheelbase  Length
    1  Acura  A334 4dr  Sedan   Asia    Rear        24620    21911         2.6          6         227        21           26    3545        102     178
    2  Acura  A764 4dr  Sedan   Asia    Front       23010    20478         2.9          6         231        21           33    3275        109     193
    3  Acura  A804 4dr  Sedan   Asia    Front       32010    28488         2.8          6         223        22           27    2735        102     174
    4  Acura  E162 4dr  Sedan   Asia    Front       20645    18993         2.5          6         196        20           31    3470        104     174
    5  Acura  E592 4dr  Sedan   Asia    Front       26255    24154         2.9          6         200        20           30    3195        111     190
    6  Acura  G643 2dr  Sports  Asia    All         48970    43093         3.6          8         334        16           23    3410        100     175
    7  Acura  G839 SUV  SUV     Asia    Front       41670    37086         4.2          8         309        12           22    5260        111     175
    8  Acura  K420 4dr  Sedan   Asia    Rear        29500    26550         2.9          6         169        18           27    3585        101     186
    9  Acura  K890 4dr  Sedan   Asia    Front       23890    21501         2.5          6         165        19           28    2770        105     183
   10  Acura  M471 2dr  Sports  Asia    Rear        49000    44590         3.6          8         318        15           28    3835        102     184

                                                  The MEANS Procedure

 Variable     Label                              Mean        Std Dev        Minimum        Maximum         N
 -----------------------------------------------------------------------------------------------------------
 MPG_Highway  Highway miles per gallon     27.5000000      4.0214074     17.0000000     33.0000000       100
 -----------------------------------------------------------------------------------------------------------

                                                   The FREQ Procedure

                                          Cumulative    Cumulative
Manufacturer    Frequency    Percent     Frequency      Percent
---------------------------------------------------------------------
Acura                  18     18.00           18        18.00
Audi                   17     17.00           35        35.00
BMW                    17     17.00           52        52.00
Buick                  18     18.00           70        70.00
Cadillac               19     19.00           89        89.00
Chevrolet              11     11.00          100       100.00

No observations in dataset.

  Obs       Make        Model    Type  Origin  DriveTrain   MSRP  Invoice  EngineSize  Cylinders  Horsepower  MPG_City  MPG_Highway  Weight  Wheelbase  Length  price_category
    1  Acura      A334 4dr     Sedan   Asia    Rear        24620    21911         2.6          6         227        21           26    3545        102     178  low
    2  Acura      A764 4dr     Sedan   Asia    Front       23010    20478         2.9          6         231        21           33    3275        109     193  low
    3  Acura      A804 4dr     Sedan   Asia    Front       32010    28488         2.8          6         223        22           27    2735        102     174  med
    4  Acura      E162 4dr     Sedan   Asia    Front       20645    18993         2.5          6         196        20           31    3470        104     174  low
    5  Acura      E592 4dr     Sedan   Asia    Front       26255    24154         2.9          6         200        20           30    3195        111     190  med
    6  Acura      G643 2dr     Sports  Asia    All         48970    43093         3.6          8         334        16           23    3410        100     175  med
    7  Acura      G839 SUV     SUV     Asia    Front       41670    37086         4.2          8         309        12           22    5260        111     175  med
    8  Acura      K420 4dr     Sedan   Asia    Rear        29500    26550         2.9          6         169        18           27    3585        101     186  med
    9  Acura      K890 4dr     Sedan   Asia    Front       23890    21501         2.5          6         165        19           28    2770        105     183  low
   10  Acura      M471 2dr     Sports  Asia    Rear        49000    44590         3.6          8         318        15           28    3835        102     184  med
   11  Acura      R248 4dr     Sedan   Asia    All         25525    22462         2.8          6         164        25           33    3505        103     195  med
   12  Acura      R678 4dr     Sedan   Asia    Front       31135    27398         3.2          8         168        24           32    3235        110     198  med
   13  Acura      R718 4dr     Sedan   Asia    Front       27135    23878         2.5          6         160        25           33    3780        103     180  med
   14  Acura      S925 SUV     SUV     Asia    All         32550    29295         4.5          8         201        17           23    3930        110     196  med
   15  Acura      T506 4dr     Sedan   Asia    Front       21375    19451         2.6          6         232        23           29    3160        100     181  low
   16  Acura      T976 4dr     Sedan   Asia    Front       28770    26180         2.8          6         228        23           30    2810        105     192  med
   17  Acura      V321 Wagon   Wagon   Asia    Front       25180    22913           3          6         173        23           27    3210        100     177  med
   18  Acura      V557 2dr     Sports  Asia    Rear        43880    40369         3.9          8         326        19           21    3615        101     167  med
